,fold,MSE,RMSE,CI,R2,Pearson,Spearman
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,2.0,0.231208,0.480687,0.8801322,0.711203,0.8439983999999999,0.6776682
std,1.5811388300841898,0.012988732944363736,0.013588033430191432,0.007881360618573434,0.009784021846868505,0.005376640614733307,0.007811638797333123
min,0.0,0.213033,0.461555,0.866324,0.695511,0.835246,0.666735
25%,1.0,0.223004,0.472233,0.88138,0.708678,0.843207,0.677113
50%,2.0,0.23459,0.484344,0.882763,0.714337,0.845398,0.677836
75%,3.0,0.241893,0.491826,0.884996,0.716911,0.84679,0.677845
max,4.0,0.24352,0.493477,0.885198,0.720578,0.849351,0.688812
