dataset,running_set,config,best_lr,best_ci,source_folder,source_log,mse,rmse,r2,pearson,spearman
sweep,ab,baseline,0.0001,0.717751,2025-12-30_23-14-17_sweep_ab_metz_novel-prot_fold0_b256_lr0.0001_moestd0.1_lbw0.01,summary.csv,0.552793,0.743500,0.389956,0.654941,0.581835
sweep,ab,moe_4exp_top1,0.0005,0.729064,2025-12-31_00-56-09_sweep_ab_metz_novel-prot_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.519190,0.720548,0.427039,0.674677,0.610736
sweep,ab,moe_4exp_top2,0.0005,0.733872,2025-12-31_00-56-09_sweep_ab_metz_novel-prot_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.501754,0.708346,0.446281,0.686957,0.627204
sweep,ab,moe_6exp_top2,0.0005,0.729765,2025-12-31_00-56-09_sweep_ab_metz_novel-prot_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.521519,0.722163,0.424468,0.678140,0.619626
sweep,ab,moe_8exp_top2,0.0005,0.724776,2025-12-31_00-56-09_sweep_ab_metz_novel-prot_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.525794,0.725117,0.419751,0.669120,0.607457
