dataset,running_set,config,best_lr,best_ci,source_folder,source_log,mse,rmse,r2,pearson,spearman
davis,warm,baseline,5e-4,0.889163,2025-12-29_02-40-44_davis_warm_b256_lr5e-4_moestd0.1_lbw0.01,summary.csv,0.224916,0.474253,0.708807,0.846862,0.680967
davis,warm,moe_4exp_top1,1e-4,0.892724,2025-12-29_02-40-37_davis_warm_b256_lr1e-4_moestd0.1_lbw0.01,summary.csv,0.217046,0.465882,0.718996,0.852533,0.683453
davis,warm,moe_4exp_top2,5e-4,0.898928,2025-12-29_02-40-44_davis_warm_b256_lr5e-4_moestd0.1_lbw0.01,summary.csv,0.199017,0.446113,0.742338,0.864884,0.694664
davis,warm,moe_6exp_top2,2e-4,0.894652,2025-12-29_02-40-40_davis_warm_b256_lr2e-4_moestd0.1_lbw0.01,summary.csv,0.210402,0.458696,0.727598,0.856407,0.692545
davis,warm,moe_8exp_top2,2e-4,0.891741,2025-12-29_02-40-40_davis_warm_b256_lr2e-4_moestd0.1_lbw0.01,summary.csv,0.209957,0.458210,0.728174,0.857469,0.682736
