dataset,running_set,config,best_lr,best_ci,source_folder,source_log,mse,rmse,r2,pearson,spearman
sweep,ab,baseline,0.0005,0.736962,2025-12-30_19-05-53_sweep_ab_metz_novel-drug_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.499993,0.707102,0.431280,0.688989,0.624449
sweep,ab,moe_4exp_top1,0.0005,0.733285,2025-12-30_19-05-53_sweep_ab_metz_novel-drug_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.488037,0.698596,0.444880,0.686070,0.617478
sweep,ab,moe_4exp_top2,0.0005,0.741869,2025-12-30_19-05-53_sweep_ab_metz_novel-drug_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.444600,0.666784,0.494287,0.712760,0.640181
sweep,ab,moe_6exp_top2,0.0005,0.739453,2025-12-30_19-05-53_sweep_ab_metz_novel-drug_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.462592,0.680141,0.473822,0.702869,0.635781
sweep,ab,moe_8exp_top2,0.0005,0.738272,2025-12-30_19-05-53_sweep_ab_metz_novel-drug_fold0_b256_lr0.0005_moestd0.1_lbw0.01,summary.csv,0.484347,0.695950,0.449077,0.691841,0.627347
