dataset,running_set,config,best_lr,best_ci,source_folder,source_log,mse,rmse,r2,pearson,spearman
sweep,ab,baseline,1e-4,0.792545,2025-12-29_23-41-39_sweep_ab_metz_warm_fold0_b256_lr1e-4_moestd0.1_lbw0.01,summary.csv,0.328798,0.573409,0.635386,0.800574,0.755374
sweep,ab,moe_4exp_top1,5e-4,0.797259,2025-12-29_23-41-46_sweep_ab_metz_warm_fold0_b256_lr5e-4_moestd0.1_lbw0.01,summary.csv,0.329324,0.573868,0.634802,0.805692,0.761292
sweep,ab,moe_4exp_top2,5e-4,0.798296,2025-12-29_23-41-46_sweep_ab_metz_warm_fold0_b256_lr5e-4_moestd0.1_lbw0.01,summary.csv,0.306331,0.553472,0.660299,0.815771,0.767787
sweep,ab,moe_6exp_top2,5e-4,0.800290,2025-12-29_23-41-46_sweep_ab_metz_warm_fold0_b256_lr5e-4_moestd0.1_lbw0.01,summary.csv,0.310483,0.557210,0.655695,0.812926,0.770737
sweep,ab,moe_8exp_top2,5e-4,0.790651,2025-12-29_23-41-46_sweep_ab_metz_warm_fold0_b256_lr5e-4_moestd0.1_lbw0.01,summary.csv,0.324627,0.569760,0.640011,0.803486,0.754751
