,fold,MSE,RMSE,CI,R2,Pearson,Spearman
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,2.0,0.224655,0.47389080000000006,0.8791364000000002,0.7189644000000001,0.8492621999999999,0.676341
std,1.5811388300841898,0.009607362281084232,0.010157450551196393,0.006402094993047212,0.01663205860078661,0.00959095726192124,0.009212415019960828
min,0.0,0.213019,0.46154,0.869607,0.696603,0.836399,0.665603
25%,1.0,0.216307,0.465088,0.877195,0.71569,0.846853,0.672467
50%,2.0,0.227381,0.476845,0.879094,0.716672,0.847163,0.673009
75%,3.0,0.231313,0.48095,0.88365,0.722916,0.853399,0.681008
max,4.0,0.235255,0.485031,0.886136,0.742941,0.862497,0.689618
