,fold,MSE,RMSE,CI,R2,Pearson,Spearman
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,2.0,0.22870399999999996,0.4780716,0.8770494,0.7120123999999999,0.8453649999999999,0.6758312
std,1.5811388300841898,0.01317440178907566,0.013759544371090199,0.010338037618426428,0.014932397942058731,0.008551573305538589,0.010135250080782405
min,0.0,0.213791,0.462375,0.866324,0.695511,0.835246,0.666735
25%,1.0,0.219209,0.468198,0.867542,0.69851,0.837884,0.669721
50%,2.0,0.225878,0.475266,0.876316,0.712478,0.846811,0.670817
75%,3.0,0.241122,0.491042,0.886598,0.726139,0.85255,0.680408
max,4.0,0.24352,0.493477,0.888467,0.727424,0.854334,0.691475
